;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
153;-57.0;-50.0;;-73.0;-77.0;;-77.0;-81.0;-74.0;-84.0;;;1.0;3.1;00:02:09:809
154;;-55.0;-48.0;-68.0;-68.0;-72.0;-86.0;-70.0;-80.0;-84.0;;-86.0;1.0;3.1;00:02:09:911
155;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:10:020
156;-54.0;-47.0;-65.0;;-77.0;-67.0;-110.0;-74.0;-75.0;-110.0;;-82.0;1.0;3.1;00:02:10:120
157;-57.0;-52.0;;-73.0;-77.0;;-76.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:10:228
158;;-56.0;-53.0;-110.0;-68.0;-72.0;-86.0;-69.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:10:332
159;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-80.0;-80.0;-78.0;;1.0;3.1;00:02:10:434
160;-57.0;-47.0;;;-77.0;-67.0;-110.0;;-74.0;-80.0;;-82.0;1.0;3.1;00:02:10:538
161;-57.0;-52.0;;-73.0;;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:10:642
162;;-56.0;-53.0;;-68.0;-72.0;-86.0;-71.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:10:748
163;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-80.0;-78.0;;1.0;3.1;00:02:10:850
164;-57.0;-47.0;;-73.0;-77.0;-60.0;-89.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:10:954
165;-59.0;-55.0;-48.0;-73.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:11:061
166;;-56.0;-54.0;-110.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:11:163
167;-55.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:11:266
168;-57.0;-47.0;;-73.0;-77.0;-63.0;-76.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:11:367
169;;-56.0;-48.0;-65.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-75.0;;1.0;3.1;00:02:11:477
170;-46.0;-55.0;-55.0;-74.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:11:580
171;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:11:686
172;-56.0;-54.0;;-74.0;-77.0;;-76.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:11:789
173;;-56.0;-48.0;-63.0;-68.0;-72.0;-86.0;-70.0;-80.0;-84.0;;-86.0;1.0;3.1;00:02:11:896
174;-46.0;;-64.0;-73.0;-69.0;-67.0;-110.0;-74.0;-81.0;;-78.0;-86.0;1.0;3.1;00:02:12:006
175;-54.0;-47.0;-65.0;;-77.0;-67.0;-110.0;-74.0;-75.0;-79.0;;-82.0;1.0;3.1;00:02:12:109
176;-57.0;-52.0;;-73.0;-77.0;;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:12:214
177;;-55.0;-48.0;-63.0;-68.0;-72.0;-86.0;-70.0;-80.0;-84.0;-79.0;-85.0;1.0;3.1;00:02:12:313
178;-46.0;;-65.0;-74.0;-69.0;-66.0;-110.0;-74.0;-80.0;-80.0;-78.0;;1.0;3.1;00:02:12:420
179;-53.0;-47.0;-52.0;;-78.0;-67.0;-110.0;;-74.0;-80.0;;-82.0;1.0;3.1;00:02:12:523
180;-57.0;-52.0;-48.0;-75.0;;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:12:631
181;;-56.0;-54.0;;-68.0;-72.0;-85.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:12:740
182;-110.0;;-65.0;-74.0;-70.0;-66.0;-110.0;-76.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:12:848
183;-54.0;-47.0;;-73.0;-77.0;-61.0;-90.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:12:949
184;;-55.0;-48.0;-73.0;;-72.0;-85.0;-80.0;;-84.0;-75.0;;1.0;3.1;00:02:13:058
185;-46.0;-56.0;-55.0;-74.0;-69.0;;-85.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:13:167
186;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:13:273
187;-54.0;-50.0;;-73.0;-77.0;;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:13:383
188;;-56.0;-48.0;-67.0;-69.0;-72.0;-85.0;-70.0;-80.0;-84.0;;-86.0;1.0;3.1;00:02:13:488
189;-46.0;;-65.0;-74.0;-68.0;;;-74.0;-80.0;;-79.0;-86.0;1.0;3.1;00:02:13:588
190;-54.0;-47.0;-65.0;;-78.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:13:693
191;-59.0;-52.0;;-73.0;-77.0;;-75.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:13:795
192;;-56.0;-48.0;-66.0;-69.0;-72.0;-85.0;-70.0;-80.0;-85.0;-79.0;-86.0;1.0;3.1;00:02:13:900
193;-46.0;;-65.0;-74.0;-70.0;-67.0;-110.0;-74.0;-80.0;-110.0;-79.0;;1.0;3.1;00:02:14:009
194;-57.0;-47.0;;;-77.0;-67.0;-110.0;;-74.0;-110.0;;-82.0;1.0;3.1;00:02:14:116
195;-57.0;-52.0;-48.0;-73.0;;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:14:224
196;;-55.0;-53.0;;-68.0;-72.0;-85.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:14:330
197;-110.0;;-64.0;-74.0;-70.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:14:438
198;-56.0;-47.0;;-73.0;-77.0;-60.0;-75.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:14:543
